FREQ;Frequency;TENOR;Tenor;INSTRUMENT_TYPE;Instrument Type;DECIMALS;Decimals;TIME_PERIOD;OBS_VALUE
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-28;3.806
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-29;3.748
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-11-30;3.751
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-12-01;3.69
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-12-04;3.602
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-12-05;3.517
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-12-06;3.403
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-12-07;3.409
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-12-08;3.47
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-12-11;3.402
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-12-12;3.386
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-12-13;3.357
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-12-14;3.328
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-12-15;3.311
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-12-18;3.354
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-12-19;3.392
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-12-20;3.399
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-12-21;3.434
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-12-22;3.455
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-12-27;3.41
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-12-28;3.358
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2023-12-29;3.366
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-02;3.316
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-03;3.272
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-04;3.386
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-05;3.414
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-08;3.387
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-09;3.387
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-10;3.454
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-11;3.5
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-12;3.487
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-15;3.535
B;Business;3Y;3 years;GBON;Government bonds;3;Three;2024-01-16;3.562
